agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
,,183,7/15/1958,,,,,13.54,11500,,,,,,,,,,,,,,,,,,,,,,,7/15/1958 0:00,4.126992,325.6437358
,,184,8/29/1958,,,,,11.62,6560,,,,,,,,,,,,,,,,,,,,,,,8/29/1958 0:00,3.541776,185.7585136
,,185,10/10/1958,,,,,17.2,20800,,,,,,,,,,,,,,,,,,,,,,,10/10/1958 0:00,5.24256,588.9904091
,,186,11/14/1958,,,,,20.27,29000,,,,,,,,,,,,,,,,,,,,,,,11/14/1958 0:00,6.178296,821.1885512
,,187,12/31/1958,,,,,18.98,26000,,,,,,,,,,,,,,,,,,,,,,,12/31/1958 0:00,5.785104,736.2380114
,,188,1/30/1959,,,,,16.92,19600,,,,,,,,,,,,,,,,,,,,,,,1/30/1959 0:00,5.157216,555.0101932
,,189,3/6/1959,,,,,14.67,13900,,,,,,,,,,,,,,,,,,,,,,,3/6/1959 0:00,4.471416,393.6041676
,,190,4/8/1959,,,,,15.86,17400,,,,,,,,,,,,,,,,,,,,,,,4/8/1959 0:00,4.834128,492.7131307
,,191,5/15/1959,,,,,20.48,31200,,,,,,,,,,,,,,,,,,,,,,,5/15/1959 0:00,6.242304,883.4856137
,,192,6/22/1959,,,,,20.73,32100,,,,,,,,,,,,,,,,,,,,,,,6/22/1959 0:00,6.318504,908.9707756
,,193,7/24/1959,,,,,18.22,25100,,,,,,,,,,,,,,,,,,,,,,,7/24/1959 0:00,5.553456,710.7528495
USGS,12200500,194,8/29/1959,,Yes,JRW,USGS,14.69,14400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,14400,610,4890,2.94,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,8/29/1959 0:00,4.477512,407.7625909
USGS,12200500,195,10/2/1959,,Yes,JRW,USGS,14.39,13700,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13700,610,4860,2.82,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10/2/1959 0:00,4.386072,387.9407983
USGS,12200500,196,11/8/1959,,Yes,JRW,USGS,14.36,13700,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13700,610,4760,2.88,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,11/8/1959 0:00,4.376928,387.9407983
USGS,12200500,198,1/17/1960,,Yes,JRW,USGS,13.59,11900,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,11900,605,4080,2.92,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1/17/1960 0:00,4.142232,336.9704744
USGS,12200500,200,3/22/1960,,Yes,WMM,USGS,13.96,13000,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13000,610,4580,2.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/22/1960 0:00,4.255008,368.1190057
USGS,12200500,201,5/4/1960,,Yes,JRW,USGS,15.61,16500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,16500,615,5570,2.96,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,5/4/1960 0:00,4.757928,467.2279688
USGS,12200500,202,6/2/1960,,Yes,EAJ,USGS,17.8,21300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,21300,623,6020,3.54,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/2/1960 0:00,5.42544,603.1488324
USGS,12200500,203,7/14/1960,,Yes,DR,USGS,15.87,18000,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,18000,610,5470,3.29,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,7/14/1960 0:00,4.837176,509.7032387
USGS,12200500,204,8/20/1960,,Yes,JRW,USGS,12.97,10800,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,10800,600,3910,2.76,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,8/20/1960 0:00,3.953256,305.8219432
USGS,12200500,205,9/23/1960,,Yes,WMD,USGS,10.52,5400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,5400,565,2600,2.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,9/23/1960 0:00,3.206496,152.9109716
USGS,12200500,206,11/10/1960,,Yes,WMD,USGS,13.74,12300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,12300,610,4440,2.77,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,11/10/1960 0:00,4.187952,348.2972131
USGS,12200500,207,12/22/1960,,Yes,WMD,USGS,15.17,15400,Unspecified,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,15400,610,5600,2.75,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,12/22/1960 0:00,4.623816,436.0794375
USGS,12200500,208,1/17/1961,,Yes,WMD/JRW,USGS,25.32,54500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,54500,642,11900,4.58,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1/17/1961 0:00,7.717536,1543.268139
USGS,12200500,209,1/27/1961,,Yes,WMD,USGS,14.37,13700,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13700,605,5010,2.74,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1/27/1961 0:00,4.379976,387.9407983
USGS,12200500,210,3/3/1961,,Yes,WMD,USGS,16.25,18200,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,18200,614,6060,3,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/3/1961 0:00,4.953,515.366608
USGS,12200500,211,3/31/1961,,Yes,WMD,USGS,14.26,13500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13500,605,4950,2.73,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/31/1961 0:00,4.346448,382.277429
USGS,12200500,212,5/12/1961,,Yes,WMD,USGS,15.88,16500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,16500,615,5910,2.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,5/12/1961 0:00,4.840224,467.2279688
USGS,12200500,213,6/16/1961,,Yes,WMD,USGS,21.52,36000,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,36000,629,9580,3.76,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/16/1961 0:00,6.559296,1019.406477
USGS,12200500,214,8/11/1961,,Yes,WMD/Pot,USGS,12.63,9020,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,9020,605,3300,2.73,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,8/11/1961 0:00,3.849624,255.4179563
USGS,12200500,215,9/11/1961,,Yes,WMD/Gre,USGS,11.37,6780,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,6780,599,2800,2.42,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,9/11/1961 0:00,3.465576,191.9882199
USGS,12200500,216,10/20/1961,,Yes,WMD,USGS,13.17,10600,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,10600,612,4090,2.59,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10/20/1961 0:00,4.014216,300.1585739
USGS,12200500,217,12/1/1961,,Yes,WMD,USGS,14.22,14000,Fair,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,14000,609,5030,2.78,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,12/1/1961 0:00,4.334256,396.4358523
USGS,12200500,218,1/17/1962,,Yes,WMD,USGS,14.55,14400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,14400,610,5340,2.7,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1/17/1962 0:00,4.43484,407.7625909
USGS,12200500,219,3/19/1962,,Yes,AS,USGS,12.87,10500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,10500,600,3860,2.72,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/19/1962 0:00,3.922776,297.3268892
USGS,12200500,220,4/20/1962,,Yes,AS,USGS,15.5,16300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,16300,608,5590,2.92,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4/20/1962 0:00,4.7244,461.5645994
USGS,12200500,221,5/21/1962,,Yes,AS,USGS,12.73,9910,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,9910,600,3980,2.5,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,5/21/1962 0:00,3.880104,280.6199497
USGS,12200500,222,6/26/1962,,Yes,AS/Mor,USGS,19.82,30100,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,30100,620,8450,3.56,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/26/1962 0:00,6.041136,852.3370824
USGS,12200500,223,8/10/1962,,Yes,AS,USGS,14.44,13300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13300,604,5230,2.54,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,8/10/1962 0:00,4.401312,376.6140597
USGS,12200500,224,9/11/1962,,Yes,AS/Mor,USGS,12.31,9040,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,9040,600,3730,2.42,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,9/11/1962 0:00,3.752088,255.9842932
USGS,12200500,225,10/17/1962,,Yes,AS,USGS,13.27,10700,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,10700,604,4310,2.48,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10/17/1962 0:00,4.044696,302.9902585
USGS,12200500,227,1/4/1963,,Yes,AS,USGS,21.73,36100,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,36100,628,9750,3.7,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1/4/1963 0:00,6.623304,1022.238162
USGS,12200500,228,2/5/1963,,Yes,AS,USGS,26.59,61600,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,61600,645,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2/5/1963 0:00,8.104632,1744.31775
USGS,12200500,229,3/12/1963,,Yes,AS,USGS,13.9,12200,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,12200,604,4490,2.72,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/12/1963 0:00,4.23672,345.4655284
USGS,12200500,230,4/23/1963,,Yes,AS,USGS,14.1,13200,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13200,604,4770,2.77,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4/23/1963 0:00,4.29768,373.782375
USGS,12200500,231,6/11/1963,,Yes,AS,USGS,16.83,20300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,20300,614,6550,3.1,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/11/1963 0:00,5.129784,574.8319858
USGS,12200500,232,7/4/1963,,Yes,LEJ,USGS,16.05,18100,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,18100,610,6180,2.93,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,7/4/1963 0:00,4.89204,512.5349233
USGS,12200500,233,8/15/1963,,Yes,LEJ,USGS,13.33,11300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,11300,605,4660,2.42,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,8/15/1963 0:00,4.062984,319.9803665
USGS,12200500,234,9/23/1963,,Yes,AS/RR,USGS,12.36,9290,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,9290,602,3600,2.58,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,9/23/1963 0:00,3.767328,263.0635048
USGS,12200500,235,10/28/1963,,Yes,AWM,USGS,16.55,19300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,19300,613,6440,3,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10/28/1963 0:00,5.04444,546.5151392
USGS,12200500,238,2/14/1964,,Yes,AWM,USGS,14.6,14400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,14400,600,5060,2.85,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2/14/1964 0:00,4.45008,407.7625909
USGS,12200500,239,3/20/1964,,Yes,AWM,USGS,15.28,16400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,16400,610,5580,2.94,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/20/1964 0:00,4.657344,464.3962841
USGS,12200500,240,4/23/1964,,Yes,AWM,USGS,14.88,15000,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,15000,610,5380,2.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4/23/1964 0:00,4.535424,424.7526989
USGS,12200500,241,6/1/1964,,Yes,AWM,USGS,22.42,38500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,38500,630,10100,3.81,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/1/1964 0:00,6.833616,1090.198594
USGS,12200500,242,6/30/1964,,Yes,AWM,USGS,19.41,28400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,28400,622,8320,3.41,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/30/1964 0:00,5.916168,804.1984432
USGS,12200500,243,8/7/1964,,Yes,AWM,USGS,16.57,19300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,19300,612,6390,3.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,8/7/1964 0:00,5.050536,546.5151392
USGS,12200500,244,9/11/1964,,Yes,OCH,USGS,13.37,11400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,11400,610,4110,2.77,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,9/11/1964 0:00,4.075176,322.8120511
USGS,12200500,245,10/14/1964,,Yes,OCH,USGS,14.06,12800,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,12800,608,4600,2.78,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10/14/1964 0:00,4.285488,362.4556364
USGS,12200500,246,11/17/1964,,Yes,OCH,USGS,13.46,11700,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,11700,600,4370,2.68,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,11/17/1964 0:00,4.102608,331.3071051
USGS,12200500,247,12/22/1964,,Yes,OCH,USGS,14.33,13100,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13100,605,4900,2.67,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,12/22/1964 0:00,4.367784,370.9506904
USGS,12200500,248,1/19/1965,,Yes,OCH,USGS,15.86,17700,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,17700,605,5860,3.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1/19/1965 0:00,4.834128,501.2081847
USGS,12200500,249,3/5/1965,,Yes,OCH,USGS,14.19,13400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13400,608,4900,2.73,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/5/1965 0:00,4.325112,379.4457443
USGS,12200500,250,4/20/1965,,Yes,OCH,USGS,18.17,23500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,23500,618,7060,3.33,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4/20/1965 0:00,5.538216,665.4458949
USGS,12200500,251,6/2/1965,,Yes,OCH,USGS,16.84,20300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,20300,616,6430,3.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/2/1965 0:00,5.132832,574.8319858
USGS,12200500,252,7/16/1965,,Yes,OCH/NNH,USGS,18.28,24400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,24400,620,7460,3.27,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,7/16/1965 0:00,5.571744,690.9310568
USGS,12200500,253,8/31/1965 13:40,PDT,Yes,OCH,USGS,11.61,7080,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,7080,595,3180,2.23,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,8/31/1965 13:40,3.538728,200.4832739
USGS,12200500,254,10/12/1965 8:30,PDT,Yes,OCH,USGS,12.19,8460,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,8460,605,3440,2.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10/12/1965 8:30,3.715512,239.5605222
USGS,12200500,255,11/13/1965 13:50,PST,Yes,DAS,USGS,14.38,13500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13500,610,4610,2.93,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,11/13/1965 13:50,4.383024,382.277429
USGS,12200500,256,1/14/1966 15:45,PST,Yes,DAS,USGS,20.51,31200,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,31200,623,8780,3.55,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1/14/1966 15:45,6.251448,883.4856137
USGS,12200500,257,2/9/1966 15:15,PST,Yes,DAS,USGS,14.5,14000,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,14000,610,4980,2.81,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2/9/1966 15:15,4.4196,396.4358523
USGS,12200500,258,3/23/1966 11:00,PST,Yes,DAS,USGS,14.18,13500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13500,610,4910,2.75,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/23/1966 11:00,4.322064,382.277429
USGS,12200500,259,5/5/1966 19:55,PDT,Yes,OCH/RQ,USGS,17.55,22700,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,22700,615,7020,3.23,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,5/5/1966 19:55,5.34924,642.7924176
USGS,12200500,260,6/8/1966 10:30,PDT,Yes,WF,USGS,18.58,25300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,25300,620,7630,3.32,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/8/1966 10:30,5.663184,716.4162188
USGS,12200500,261,7/27/1966 7:45,PDT,Yes,RQ,USGS,14.98,14800,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,14800,609,5450,2.72,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,7/27/1966 7:45,4.565904,419.0893296
USGS,12200500,262,9/7/1966 8:30,PDT,Yes,RQ,USGS,12.05,8360,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,8360,600,3480,2.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,9/7/1966 8:30,3.67284,236.7288375
USGS,12200500,263,10/11/1966 9:10,PDT,Yes,RQ,USGS,12.19,8560,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,8560,596,3480,2.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10/11/1966 9:10,3.715512,242.3922068
USGS,12200500,264,11/28/1966 12:30,PST,Yes,RQ,USGS,15.91,17400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,17400,611,5970,2.88,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,11/28/1966 12:30,4.849368,492.7131307
USGS,12200500,265,1/5/1967 8:45,PST,Yes,RQ,USGS,17.27,21500,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,21500,619,6970,3.06,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1/5/1967 8:45,5.263896,608.8122017
USGS,12200500,266,2/11/1967 14:00,PST,Yes,RQ,USGS,15.54,17200,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,17200,612,5820,2.9,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2/11/1967 14:00,4.736592,487.0497614
USGS,12200500,267,3/24/1967 8:50,PST,Yes,RQ,USGS,19.43,28000,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,28000,624,8070,3.47,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3/24/1967 8:50,5.922264,792.8717046
USGS,12200500,268,5/10/1967 12:45,PDT,Yes,RQ,USGS,16.52,19300,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,19300,613,6430,3,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,5/10/1967 12:45,5.035296,546.5151392
USGS,12200500,269,6/20/1967 10:15,PDT,Yes,GTH/JRW,USGS,26.82,57600,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,57600,637,13100,4.42,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6/20/1967 10:15,8.174736,1631.050364
USGS,12200500,270,11/19/1967 10:50,PST,Yes,RQ,USGS,14.25,14100,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,14100,607,5180,2.68,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,11/19/1967 10:50,4.3434,399.2675369
USGS,12200500,273,12/15/1967 8:39,PST,Yes,RQ,USGS,15.29,16600,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,16600,611,5670,2.93,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,12/15/1967 8:39,4.660392,470.0596534
